date,country,Zuzuege D,Fortzuege D,Wanderungssaldo D,Zuzuege A,Fortzuege A,Wanderungssaldo A,Zuzuege I,Fortzuege I,Wanderungssaldo I
2002-01-01,COL,311.0,142.0,169.0,1621.0,775.0,846.0,1932.0,917.0,1015.0
2002-01-01,MEX,589.0,502.0,87.0,1853.0,1163.0,690.0,2442.0,1665.0,777.0
2002-01-01,NIC,65.0,36.0,29.0,54.0,24.0,30.0,119.0,60.0,59.0
2002-01-01,PRY,329.0,204.0,125.0,183.0,95.0,88.0,512.0,299.0,213.0
2002-01-01,PER,226.0,172.0,54.0,1168.0,586.0,582.0,1394.0,758.0,636.0
2002-01-01,URY,118.0,73.0,45.0,144.0,52.0,92.0,262.0,125.0,137.0
2002-01-01,"Venezuela, Bolivarische Republik",277.0,151.0,126.0,546.0,307.0,239.0,823.0,458.0,365.0
2002-01-01,USA,11268.0,13047.0,-1779.0,16688.0,15711.0,977.0,27956.0,28758.0,-802.0
2002-01-01,XXX,988.0,655.0,333.0,3495.0,1638.0,1857.0,4483.0,2293.0,2190.0
2002-01-01,YEM,31.0,30.0,1.0,381.0,182.0,199.0,412.0,212.0,200.0
2002-01-01,ARM,88.0,11.0,77.0,1541.0,1290.0,251.0,1629.0,1301.0,328.0
2002-01-01,AFG,20.0,74.0,-54.0,3545.0,1921.0,1624.0,3565.0,1995.0,1570.0
2002-01-01,AZE,54.0,18.0,36.0,2675.0,975.0,1700.0,2729.0,993.0,1736.0
2002-01-01,GEO,68.0,29.0,39.0,4255.0,2525.0,1730.0,4323.0,2554.0,1769.0
2002-01-01,VNM,134.0,88.0,46.0,6756.0,4107.0,2649.0,6890.0,4195.0,2695.0
2002-01-01,PRK,25.0,35.0,-10.0,560.0,282.0,278.0,585.0,317.0,268.0
2002-01-01,IND,414.0,332.0,82.0,8999.0,4956.0,4043.0,9413.0,5288.0,4125.0
2002-01-01,IDN,302.0,212.0,90.0,1578.0,1074.0,504.0,1880.0,1286.0,594.0
2002-01-01,IRQ,45.0,24.0,21.0,12466.0,4884.0,7582.0,12511.0,4908.0,7603.0
2002-01-01,IRN,137.0,155.0,-18.0,5952.0,3612.0,2340.0,6089.0,3767.0,2322.0
2002-01-01,ISR,432.0,291.0,141.0,1804.0,717.0,1087.0,2236.0,1008.0,1228.0
2002-01-01,JPN,520.0,470.0,50.0,5639.0,5175.0,464.0,6159.0,5645.0,514.0
